#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1450	1100	2061506	2061506.0	152865	152865.0
1450	1200	2061506	2061506.0	156171	156171.0
1425	1175	2061506	2061506.0	151568	151568.0
1450	1175	2061506	2061506.0	155790	155790.0
1450	0	2061506	2061506.0	104036	104036.0
1450	150	2061506	2061506.0	103974	103974.0
1450	1000	2061506	2061506.0	103760	103760.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1475	1075	1945371	1945371.0	152041	152041.0
1450	350	1945371	1945371.0	99184	99184.0
1450	900	1945371	1945371.0	99847	99847.0
1450	650	1945371	1945371.0	104215	104215.0
1450	400	1945371	1945371.0	104113	104113.0
1450	550	1945371	1945371.0	104250	104250.0
1450	300	1945371	1945371.0	103929	103929.0
1450	50	1945371	1945371.0	99238	99238.0
1450	950	1945371	1945371.0	99266	99266.0
1450	600	1945371	1945371.0	94433	94433.0
1450	750	1945371	1945371.0	104160	104160.0
1450	500	1945371	1945371.0	104218	104218.0
1450	250	1945371	1945371.0	104376	104376.0
1450	800	1945371	1945371.0	103861	103861.0
1475	1050	1945371	1945371.0	156478	156478.0
1450	850	1945371	1945371.0	103995	103995.0
1450	700	1945371	1945371.0	104023	104023.0
1450	450	1945371	1945371.0	103744	103744.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1500	1125	2101388	2101388.0	157926	157926.0
1500	100	2101388	2101388.0	105596	105596.0
1475	1100	2101388	2101388.0	157169	157169.0
1500	1150	2101388	2101388.0	158042	158042.0
1500	1200	2101388	2101388.0	157569	157569.0
1475	1175	2101388	2101388.0	156487	156487.0
1500	1175	2101388	2101388.0	158086	158086.0
1500	150	2101388	2101388.0	105414	105414.0
1475	1150	2101388	2101388.0	157221	157221.0
1500	1000	2101388	2101388.0	105062	105062.0
1500	1250	2101388	2101388.0	157720	157720.0
1500	0	2101388	2101388.0	105005	105005.0
1500	1050	2101388	2101388.0	105129	105129.0
1500	1100	2101388	2101388.0	158508	158508.0
1475	1125	2101388	2101388.0	156454	156454.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1500	50	2102187	2102187.0	105271	105271.0
1500	900	2102187	2102187.0	104866	104866.0
1525	1125	2102187	2102187.0	158543	158543.0
1500	350	2102187	2102187.0	104945	104945.0
1500	400	2102187	2102187.0	105116	105116.0
1500	650	2102187	2102187.0	104995	104995.0
1500	700	2102187	2102187.0	105050	105050.0
1500	950	2102187	2102187.0	101741	101741.0
1500	200	2102187	2102187.0	104843	104843.0
1500	850	2102187	2102187.0	105242	105242.0
1500	450	2102187	2102187.0	105866	105866.0
1500	500	2102187	2102187.0	105075	105075.0
1500	750	2102187	2102187.0	105315	105315.0
1500	800	2102187	2102187.0	105642	105642.0
1500	250	2102187	2102187.0	105230	105230.0
1525	1100	2102187	2102187.0	158816	158816.0
1500	300	2102187	2102187.0	105046	105046.0
1500	550	2102187	2102187.0	105336	105336.0
1500	600	2102187	2102187.0	105249	105249.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1550	1200	2076267	2076267.0	159514	159514.0
1550	1100	2076267	2076267.0	106988	106988.0
1550	100	2076267	2076267.0	106884	106884.0
1525	1175	2076267	2076267.0	159078	159078.0
1550	1150	2076267	2076267.0	159913	159913.0
1550	1000	2076267	2076267.0	106761	106761.0
1525	1150	2076267	2076267.0	159104	159104.0
1550	300	2076267	2076267.0	105964	105964.0
1550	250	2076267	2076267.0	106604	106604.0
1550	0	2076267	2076267.0	106643	106643.0
1550	1050	2076267	2076267.0	106843	106843.0
1550	1300	2076267	2076267.0	159380	159380.0
1550	1250	2076267	2076267.0	160280	160280.0
1550	1175	2076267	2076267.0	159444	159444.0
1550	200	2076267	2076267.0	106532	106532.0
1550	150	2076267	2076267.0	106335	106335.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1550	700	1815517	1815517.0	106229	106229.0
1550	650	1815517	1815517.0	106656	106656.0
1550	400	1815517	1815517.0	106507	106507.0
1550	350	1815517	1815517.0	106960	106960.0
1550	900	1815517	1815517.0	106525	106525.0
1550	50	1815517	1815517.0	106664	106664.0
1550	600	1815517	1815517.0	106866	106866.0
1550	550	1815517	1815517.0	106648	106648.0
1575	1150	1815517	1815517.0	161733	161733.0
1550	950	1815517	1815517.0	106059	106059.0
1550	800	1815517	1815517.0	107057	107057.0
1550	750	1815517	1815517.0	106209	106209.0
1550	500	1815517	1815517.0	106310	106310.0
1550	450	1815517	1815517.0	106842	106842.0
1575	1175	1815517	1815517.0	161118	161118.0
1550	850	1815517	1815517.0	107134	107134.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1600	150	2166990	2166990.0	54165	54165.0
1600	0	2166990	2166990.0	54068	54068.0
1600	550	2166990	2166990.0	54107	54107.0
1600	100	2166990	2166990.0	53985	53985.0
1650	1050	2166990	2166990.0	54688	54688.0
1600	1050	2166990	2166990.0	54052	54052.0
1600	600	2166990	2166990.0	53989	53989.0
1650	0	2166990	2166990.0	55147	55147.0
1600	1200	2166990	2166990.0	162589	162589.0
1600	1150	2166990	2166990.0	53994	53994.0
1600	1000	2166990	2166990.0	54038	54038.0
1600	700	2166990	2166990.0	54176	54176.0
1600	250	2166990	2166990.0	54049	54049.0
1600	1300	2166990	2166990.0	162443	162443.0
1600	850	2166990	2166990.0	53817	53817.0
1600	1100	2166990	2166990.0	54081	54081.0
1600	400	2166990	2166990.0	54133	54133.0
1600	650	2166990	2166990.0	54154	54154.0
1600	350	2166990	2166990.0	54368	54368.0
1600	200	2166990	2166990.0	53750	53750.0
1600	1250	2166990	2166990.0	162339	162339.0
1600	950	2166990	2166990.0	54431	54431.0
1600	800	2166990	2166990.0	54053	54053.0
1650	1000	2166990	2166990.0	54742	54742.0
1600	500	2166990	2166990.0	54030	54030.0
1600	750	2166990	2166990.0	54400	54400.0
1600	50	2166990	2166990.0	54483	54483.0
1650	100	2166990	2166990.0	54792	54792.0
1600	300	2166990	2166990.0	53863	53863.0
1600	1350	2166990	2166990.0	162126	162126.0
1600	900	2166990	2166990.0	53858	53858.0
1600	450	2166990	2166990.0	54080	54080.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1650	800	2160839	2160839.0	54490	54490.0
1650	950	2160839	2160839.0	54640	54640.0
1650	1250	2160839	2160839.0	164138	164138.0
1650	1400	2160839	2160839.0	164620	164620.0
1700	1200	2160839	2160839.0	51904	51904.0
1650	400	2160839	2160839.0	51262	51262.0
1650	850	2160839	2160839.0	54970	54970.0
1650	1300	2160839	2160839.0	160426	160426.0
1650	300	2160839	2160839.0	54849	54849.0
1650	750	2160839	2160839.0	51320	51320.0
1650	1200	2160839	2160839.0	54747	54747.0
1700	1100	2160839	2160839.0	55748	55748.0
1650	200	2160839	2160839.0	54936	54936.0
1650	350	2160839	2160839.0	54804	54804.0
1650	650	2160839	2160839.0	54783	54783.0
1650	1100	2160839	2160839.0	54586	54586.0
1650	250	2160839	2160839.0	54725	54725.0
1650	550	2160839	2160839.0	51125	51125.0
1650	700	2160839	2160839.0	54914	54914.0
1650	1150	2160839	2160839.0	54871	54871.0
1650	150	2160839	2160839.0	47741	47741.0
1650	450	2160839	2160839.0	54576	54576.0
1650	600	2160839	2160839.0	54634	54634.0
1700	1050	2160839	2160839.0	52013	52013.0
1650	900	2160839	2160839.0	54653	54653.0
1700	1150	2160839	2160839.0	56022	56022.0
1700	1000	2160839	2160839.0	55652	55652.0
1650	1350	2160839	2160839.0	164550	164550.0
1650	50	2160839	2160839.0	54782	54782.0
1700	100	2160839	2160839.0	55465	55465.0
1700	0	2160839	2160839.0	48676	48676.0
1650	500	2160839	2160839.0	54217	54217.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1700	1450	2223598	2223598.0	166605	166605.0
1700	700	2223598	2223598.0	55579	55579.0
1750	1200	2223598	2223598.0	56282	56282.0
1750	1250	2223598	2223598.0	56169	56169.0
1750	1000	2223598	2223598.0	56295	56295.0
1700	600	2223598	2223598.0	55534	55534.0
1750	0	2223598	2223598.0	56312	56312.0
1750	1150	2223598	2223598.0	56599	56599.0
1700	550	2223598	2223598.0	55514	55514.0
1750	100	2223598	2223598.0	56247	56247.0
1700	150	2223598	2223598.0	55604	55604.0
1700	1400	2223598	2223598.0	166727	166727.0
1700	450	2223598	2223598.0	55441	55441.0
1750	1050	2223598	2223598.0	56185	56185.0
1700	1350	2223598	2223598.0	166496	166496.0
1750	1300	2223598	2223598.0	56120	56120.0
1700	50	2223598	2223598.0	55393	55393.0
1700	900	2223598	2223598.0	51718	51718.0
1700	750	2223598	2223598.0	55622	55622.0
1700	300	2223598	2223598.0	55490	55490.0
1700	950	2223598	2223598.0	55485	55485.0
1700	1250	2223598	2223598.0	55567	55567.0
1700	500	2223598	2223598.0	55388	55388.0
1700	350	2223598	2223598.0	55437	55437.0
1700	800	2223598	2223598.0	55478	55478.0
1700	650	2223598	2223598.0	55686	55686.0
1700	200	2223598	2223598.0	55556	55556.0
1700	850	2223598	2223598.0	55412	55412.0
1700	400	2223598	2223598.0	55259	55259.0
1700	250	2223598	2223598.0	55422	55422.0
1750	1100	2223598	2223598.0	56453	56453.0
1700	1300	2223598	2223598.0	166523	166523.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1750	500	1517161	1517161.0	56279	56279.0
1750	450	1517161	1517161.0	56050	56050.0
1750	600	1517161	1517161.0	56099	56099.0
1750	150	1517161	1517161.0	56046	56046.0
1750	1350	1517161	1517161.0	169044	169044.0
1750	300	1517161	1517161.0	56111	56111.0
1750	1400	1517161	1517161.0	168569	168569.0
1750	250	1517161	1517161.0	55986	55986.0
1750	1450	1517161	1517161.0	168912	168912.0
1750	400	1517161	1517161.0	56311	56311.0
1750	750	1517161	1517161.0	56181	56181.0
1750	900	1517161	1517161.0	56220	56220.0
1750	50	1517161	1517161.0	56103	56103.0
1750	850	1517161	1517161.0	56081	56081.0
1750	200	1517161	1517161.0	56006	56006.0
1750	950	1517161	1517161.0	56127	56127.0
1750	550	1517161	1517161.0	56185	56185.0
1750	700	1517161	1517161.0	56174	56174.0
1750	650	1517161	1517161.0	56300	56300.0
1750	800	1517161	1517161.0	56437	56437.0
1750	350	1517161	1517161.0	55940	55940.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1800	750	2286622	2286622.0	57157	57157.0
1800	1400	2286622	2286622.0	170987	170987.0
1800	450	2286622	2286622.0	57072	57072.0
1800	300	2286622	2286622.0	57364	57364.0
1800	950	2286622	2286622.0	56544	56544.0
1800	0	2286622	2286622.0	56738	56738.0
1800	500	2286622	2286622.0	57189	57189.0
1800	350	2286622	2286622.0	57149	57149.0
1800	50	2286622	2286622.0	57167	57167.0
1850	1100	2286622	2286622.0	57697	57697.0
1800	1250	2286622	2286622.0	56750	56750.0
1800	1100	2286622	2286622.0	57085	57085.0
1800	800	2286622	2286622.0	57178	57178.0
1800	650	2286622	2286622.0	57272	57272.0
1800	1300	2286622	2286622.0	57066	57066.0
1800	1150	2286622	2286622.0	57058	57058.0
1800	200	2286622	2286622.0	57122	57122.0
1800	850	2286622	2286622.0	56863	56863.0
1800	700	2286622	2286622.0	57243	57243.0
1850	1000	2286622	2286622.0	58037	58037.0
1800	400	2286622	2286622.0	57225	57225.0
1800	250	2286622	2286622.0	57053	57053.0
1800	1450	2286622	2286622.0	171042	171042.0
1800	1000	2286622	2286622.0	57155	57155.0
1850	100	2286622	2286622.0	57953	57953.0
1800	550	2286622	2286622.0	57152	57152.0
1800	1200	2286622	2286622.0	57060	57060.0
1800	1050	2286622	2286622.0	57058	57058.0
1800	100	2286622	2286622.0	56888	56888.0
1800	600	2286622	2286622.0	57259	57259.0
1850	1050	2286622	2286622.0	57871	57871.0
1800	150	2286622	2286622.0	57039	57039.0
1850	1150	2286622	2286622.0	57544	57544.0
1850	0	2286622	2286622.0	57806	57806.0
1800	1350	2286622	2286622.0	56784	56784.0
1800	900	2286622	2286622.0	56995	56995.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1850	1400	2307681	2307681.0	57782	57782.0
1850	750	2307681	2307681.0	56115	56115.0
1850	800	2307681	2307681.0	57574	57574.0
1850	150	2307681	2307681.0	57891	57891.0
1850	1250	2307681	2307681.0	57866	57866.0
1850	200	2307681	2307681.0	57996	57996.0
1900	1300	2307681	2307681.0	57148	57148.0
1850	650	2307681	2307681.0	57752	57752.0
1850	50	2307681	2307681.0	57685	57685.0
1900	1250	2307681	2307681.0	58680	58680.0
1900	1150	2307681	2307681.0	58544	58544.0
1850	500	2307681	2307681.0	58041	58041.0
1850	950	2307681	2307681.0	57792	57792.0
1900	1400	2307681	2307681.0	56869	56869.0
1850	350	2307681	2307681.0	57745	57745.0
1850	1450	2307681	2307681.0	173547	173547.0
1850	400	2307681	2307681.0	57889	57889.0
1900	200	2307681	2307681.0	59100	59100.0
1900	150	2307681	2307681.0	55114	55114.0
1850	850	2307681	2307681.0	57758	57758.0
1850	1300	2307681	2307681.0	57526	57526.0
1850	250	2307681	2307681.0	56436	56436.0
1900	1050	2307681	2307681.0	58377	58377.0
1850	700	2307681	2307681.0	57936	57936.0
1900	1350	2307681	2307681.0	58580	58580.0
1900	1200	2307681	2307681.0	56742	56742.0
1850	1200	2307681	2307681.0	56158	56158.0
1850	550	2307681	2307681.0	57813	57813.0
1850	600	2307681	2307681.0	57869	57869.0
1900	0	2307681	2307681.0	58600	58600.0
1900	1100	2307681	2307681.0	58592	58592.0
1850	450	2307681	2307681.0	57918	57918.0
1900	100	2307681	2307681.0	58434	58434.0
1850	900	2307681	2307681.0	57822	57822.0
1900	1450	2307681	2307681.0	58503	58503.0
1850	1350	2307681	2307681.0	56434	56434.0
1850	300	2307681	2307681.0	56389	56389.0
1900	1000	2307681	2307681.0	58664	58664.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1950	1050	2340775	2340775.0	59241	59241.0
1950	1100	2340775	2340775.0	59434	59434.0
1950	1250	2340775	2340775.0	59392	59392.0
1950	150	2340775	2340775.0	59587	59587.0
1900	50	2340775	2340775.0	58433	58433.0
1900	350	2340775	2340775.0	58213	58213.0
1950	1150	2340775	2340775.0	59435	59435.0
1900	650	2340775	2340775.0	54379	54379.0
1900	950	2340775	2340775.0	54824	54824.0
1950	1350	2340775	2340775.0	59369	59369.0
1900	500	2340775	2340775.0	58544	58544.0
1950	0	2340775	2340775.0	58385	58385.0
1900	800	2340775	2340775.0	58400	58400.0
1950	450	2340775	2340775.0	59518	59518.0
1950	1000	2340775	2340775.0	56630	56630.0
